rho,tol,method,meanTime,stdTime,meanRawMVP,stdRawMVP,meanOuterIterations,meanProxResidual,meanRelativeRecoveryError,meanRelativeFunctionGap,successRate
0.01,0.01,PSSgb-L-BFGS,0.18458926,0.014272686146327,12.6,0.966091783079296,5.3,0.0393132889452485,0.155728361468121,0.00546673669251625,1
0.01,0.01,PSSgb-CG,0.45022139,0.025511285135121,114.2,3.32665998663324,6,0.0249397370073115,0.147846002877031,0.00291990833755409,1
0.01,0.01,FAST-2CDA-E,0.26201796,0.00300847187573875,4,0,3,0.00208332912585325,0.127427449749161,1.89004147940541e-05,1
0.01,0.01,SpaRSA,0.37785299,0.0347201276174834,26.8,2.5298221281347,7.6,0.0157522645802123,0.118777629074231,0.00206381529990317,1
0.01,0.01,TMAP-CG,0.13872236,0.00773992718429717,55.2,2.14993539954628,3,0.00531000273230715,0.12219202544832,0.000120451031849489,1
0.01,0.01,TMAP-L-BFGS,0.13949871,0.0132831165663995,16.3,2.21359436211787,6.5,0.0351745133588024,0.102665120867972,0.00483690893810889,1
0.01,0.01,ASSN,0.34386072,0.015315811370592,38.2,1.3984117975602,6,0.00858606614769964,0.12055878841958,0.0057998375579535,1
0.01,0.0001,PSSgb-L-BFGS,0.24846498,0.0144754020149739,17.4,0.966091783079296,7.7,0.00220312888197596,0.124241119001834,2.98575178622751e-05,1
0.01,0.0001,PSSgb-CG,0.51541202,0.046175846313842,140.4,11.6160808077997,7.7,0.000399205475695365,0.125635170235952,1.57834608591756e-06,1
0.01,0.0001,FAST-2CDA-E,0.27893716,0.00903730578671911,5.4,0.516397779494322,4.4,3.62067582121623e-05,0.125636573978366,8.9647134715598e-09,1
0.01,0.0001,SpaRSA,0.46467441,0.0205606431741406,33.7,0.948683298050514,9.9,0.000963471832738804,0.125724933538988,9.7176914069852e-06,1
0.01,0.0001,TMAP-CG,0.15302215,0.0109370174372531,67.8,6.28578643537236,3.8,0.000942366552061372,0.124800081539447,1.66418777437394e-05,1
0.01,0.0001,TMAP-L-BFGS,0.18265064,0.0098874900133901,23.3,1.25166555703457,9.7,0.00309541825419512,0.126227399506711,4.27190796926102e-05,1
0.01,0.0001,ASSN,0.42501931,0.0149680103974703,47,0.942809041582063,8,3.37191914368939e-05,0.125614788731573,1.94959485100288e-06,1
0.01,1e-06,PSSgb-L-BFGS,0.27707525,0.0186754403862548,19.2,1.03279555898864,8.6,0.000170132014184754,0.12568702706718,2.14508407514469e-07,1
0.01,1e-06,PSSgb-CG,0.49505795,0.0514872369059502,139.2,13.306639946533,7.7,6.24130920589419e-05,0.125702665802622,4.09307852944352e-08,1
0.01,1e-06,FAST-2CDA-E,0.29860269,0.0089675490593646,6.7,0.483045891539648,5.7,3.47695595116524e-08,0.125718196303565,3.26627613844721e-14,1
0.01,1e-06,SpaRSA,0.49710997,0.0409446892317496,35.8,2.5298221281347,10.6,0.000331715502907308,0.125491352836638,5.52906730966196e-07,1
0.01,1e-06,TMAP-CG,0.15103213,0.00675424152893737,69.8,1.13529242439509,4,3.89532502153975e-05,0.125717675081095,1.028717124818e-08,1
0.01,1e-06,TMAP-L-BFGS,0.22170032,0.0184563106125911,28.9,2.88482620312251,12.4,0.00027147148650773,0.125703615992496,3.42190989943703e-07,1
0.01,1e-06,ASSN,0.45467174,0.0254901070408458,52.8,3.19026296373477,8.9,2.81212066233294e-06,0.125715626785112,9.19333463023086e-08,1
