dataset,regFactor,tau,method,runtime,finalObjective,relativeObjectiveError,solutionNnz,matrixProducts
E2006-test,0.001,48.3044333398622,TMAP-CG,0.0131632,288.687113836248,1.18141924879373e-15,1,7
E2006-test,0.001,48.3044333398622,TMAP-L-BFGS,0.0397347,288.687113836248,1.18141924879373e-15,1,14
E2006-test,0.001,48.3044333398622,PSSgb-CG,0.0311454,288.687113836247,2.22044604925031e-16,1,8
E2006-test,0.001,48.3044333398622,PSSgb-L-BFGS,0.0449783,288.687113836248,7.8761283252915e-16,1,6
E2006-test,0.0001,4.83044333398622,TMAP-CG,0.0360245,244.837179344686,2.22044604925031e-16,1,39
E2006-test,0.0001,4.83044333398622,TMAP-L-BFGS,0.0585189,244.837179344686,1.27692536146361e-15,1,18
E2006-test,0.0001,4.83044333398622,PSSgb-CG,0.1250353,244.837179344686,1.62517773277187e-15,1,72
E2006-test,0.0001,4.83044333398622,PSSgb-L-BFGS,0.0796964,244.837179344686,1.16084123769419e-15,1,16
E2006-train,0.001,196.619594112826,TMAP-CG,0.0315009,1397.92983097541,9.75901667187033e-16,1,7
E2006-train,0.001,196.619594112826,TMAP-L-BFGS,0.0628266,1397.92983097541,1.30120222291604e-15,1,15
E2006-train,0.001,196.619594112826,PSSgb-CG,0.0682063,1397.92983097541,1.62650277864506e-15,1,8
E2006-train,0.001,196.619594112826,PSSgb-L-BFGS,0.0683165,1397.92983097541,2.11445361223857e-15,1,6
E2006-train,0.0001,19.6619594112826,TMAP-CG,0.1291641,1215.60740540622,2.22044604925031e-16,1,75
E2006-train,0.0001,19.6619594112826,TMAP-L-BFGS,0.0900252,1215.60740552153,9.48585373853477e-11,1,17
E2006-train,0.0001,19.6619594112826,PSSgb-CG,0.2351742,1215.60740540622,2.22044604925031e-16,1,58
E2006-train,0.0001,19.6619594112826,PSSgb-L-BFGS,0.2117584,1215.60740540622,2.22044604925031e-16,1,18
space-ga9,0.001,1.7903594398,TMAP-CG,0.3647157,31.9302356317343,2.22044604925031e-16,14,2980
space-ga9,0.001,1.7903594398,TMAP-L-BFGS,0.5022473,31.9302356340406,7.22301527495083e-11,14,265
space-ga9,0.001,1.7903594398,PSSgb-CG,1.173093,31.930235632604,2.72402005114089e-11,14,2040
space-ga9,0.001,1.7903594398,PSSgb-L-BFGS,0.6092293,31.9302356335894,5.81007375281308e-11,14,186
space-ga9,0.0001,0.17903594398,TMAP-CG,3.3905603,19.8789556074827,2.22044604925031e-16,40,7536
space-ga9,0.0001,0.17903594398,TMAP-L-BFGS,37.3731482,19.8789556114269,1.98415007318201e-10,40,20245
space-ga9,0.0001,0.17903594398,PSSgb-CG,7.5442103,19.8789556069154,2.22044604925031e-16,40,8956
space-ga9,0.0001,0.17903594398,PSSgb-L-BFGS,7.1358155,19.8789556067752,2.22044604925031e-16,40,1938
mpg7,0.001,9.1908,TMAP-CG,0.3847042,1668.98807092164,2.22044604925031e-16,50,12464
mpg7,0.001,9.1908,TMAP-L-BFGS,1.2964564,1668.98807108653,9.87957261012343e-11,50,3743
mpg7,0.001,9.1908,PSSgb-CG,0.5111532,1668.98807101776,5.75902537118581e-11,50,10376
mpg7,0.001,9.1908,PSSgb-L-BFGS,1.775728,1668.98807096939,2.86071914292242e-11,50,4100
mpg7,0.0001,0.91908,TMAP-CG,4.3824754,890.332635299554,1.75560111042349e-11,132,74191
mpg7,0.0001,0.91908,TMAP-L-BFGS,18.8662219,890.332635372951,9.99937600221248e-11,132,19843
mpg7,0.0001,0.91908,PSSgb-CG,7.1072575,890.33263533557,5.80085522518454e-11,132,99416
mpg7,0.0001,0.91908,PSSgb-L-BFGS,11.3991667,891.223879164033,0.00100102348806496,196,20000
